"id","male","race","age","exp","dis","vet","jk1","jk2","jk3","con1","con2","con3","con4","emo1","emo2","emo3","emo4","int1","int2","int3","lapr"
29402,0,3,28,31,1,1,21,21,20,3,3,3,3,3,4,3,3,1,1,2,2
40889,1,1,24,37,0,0,27,25,27,4,4,2,4,4,4,4,2,2,2,1,4
24850,0,1,34,44,0,1,25,24,26,3,2,4,2,3,5,3,4,2,2,3,3
15241,1,1,24,28,0,0,25,24,23,2,2,3,3,3,4,3,3,1,1,1,1
62271,1,1,30,35,0,0,27,27,27,3,3,3,3,3,4,2,4,2,2,2,3
25115,1,3,33,47,0,0,30,27,28,4,4,3,3,3,5,3,3,2,2,2,5
26923,1,2,26,40,0,0,27,28,25,4,4,2,3,3,4,3,3,2,1,1,5
85399,0,1,28,43,0,0,26,25,24,4,5,3,4,3,4,2,3,3,3,3,5
74917,1,1,30,41,0,0,22,24,24,2,2,4,2,3,3,4,2,1,2,1,2
43385,0,1,29,44,0,0,24,24,25,4,4,2,4,3,3,4,2,2,2,2,5
43241,1,1,26,29,0,0,25,24,22,3,3,3,2,4,4,3,3,1,1,1,1
48578,1,1,30,35,0,0,28,29,27,4,4,2,3,3,4,3,3,2,3,3,1
60301,0,1,29,37,0,0,26,26,27,3,4,3,3,3,3,4,3,3,3,2,5
83674,1,1,34,36,0,0,25,25,27,2,2,3,2,3,3,5,2,3,2,2,1
99611,1,1,30,43,0,0,25,24,27,3,3,3,4,3,4,3,3,1,2,2,4
72361,1,1,32,45,0,0,29,28,26,3,3,3,3,4,4,3,3,2,3,3,4
