"id","yearh","male","race","age","exp","dis","vet","jk1","jk2","jk3","con1","con2","con3","con4","emo1","emo2","emo3","emo4","int1","int2","int3","lapr"
72738,2023,0,2,28,40,0,0,27,29,30,4,5,2,5,3,3,4,2,2,3,3,3
37157,2005,1,3,31,34,0,0,26,27,26,4,4,3,4,3,3,3,3,2,1,1,1
70167,1999,0,2,26,32,0,0,25,25,23,2,2,4,2,4,3,4,2,2,2,1,3
29727,2008,1,1,32,46,0,1,29,26,26,4,5,3,3,3,5,2,4,2,3,1,3
87947,1995,0,1,31,45,0,1,26,30,30,4,3,1,4,3,3,4,3,3,3,3,5
15635,2019,0,1,23,34,0,0,27,24,25,3,4,3,4,4,3,5,2,2,3,2,5
92022,1995,1,3,24,29,0,0,24,24,23,3,4,2,4,2,5,2,4,1,1,1,1
45470,1995,1,1,30,45,0,0,23,22,25,2,1,4,2,3,4,3,3,2,1,1,4
70976,2009,0,2,31,49,0,0,28,28,30,4,4,3,4,3,4,4,2,3,2,2,5
78108,2005,1,2,25,32,0,0,25,28,27,3,3,3,3,4,2,5,1,2,1,1,5
11016,2019,1,4,29,39,0,0,26,25,24,3,4,3,3,3,4,3,2,1,2,1,3
34752,2023,1,1,28,34,0,0,26,28,27,3,3,3,3,3,4,3,3,2,2,2,2
97001,2009,1,3,29,40,0,0,28,26,25,4,4,3,4,4,4,3,3,2,3,2,5
51482,2008,1,1,25,32,0,0,29,27,29,4,4,3,4,4,3,4,2,2,2,1,3
66978,2024,1,2,27,30,0,0,27,24,25,3,3,3,3,5,3,5,1,2,1,2,3
36838,2021,1,1,30,31,0,0,24,26,25,3,2,3,2,3,4,3,3,1,3,2,1
39584,2015,1,1,29,36,0,0,28,24,26,3,3,4,3,4,4,3,3,2,2,2,2
77263,2023,0,1,28,41,0,0,27,25,25,4,4,3,4,4,3,4,3,3,2,2,3
92318,2009,1,1,32,43,0,0,27,28,26,3,4,3,3,3,3,3,2,2,3,3,3
29402,2013,0,1,28,34,0,1,21,20,20,2,3,3,3,3,4,3,4,1,2,1,3
40889,2013,1,1,29,38,0,0,27,25,28,4,4,2,4,4,4,4,2,2,1,1,2
24850,1998,1,1,30,43,0,1,25,24,26,2,2,4,3,3,4,3,4,2,2,3,5
15241,2019,1,4,25,27,0,0,25,25,24,3,3,3,2,3,4,3,3,1,1,1,1
62271,1998,1,4,29,33,0,0,27,28,27,3,3,3,3,2,4,2,3,2,2,2,2
25115,2024,1,3,30,45,0,0,30,27,28,4,3,3,3,3,5,3,3,2,3,2,5
26923,2006,1,3,28,38,0,0,27,28,25,4,4,2,3,3,3,3,3,2,2,1,3
85399,2008,0,1,30,43,0,1,26,25,25,4,5,2,4,3,4,2,3,3,2,3,5
74917,1995,0,5,30,39,0,0,22,25,24,2,2,4,2,3,3,4,2,2,2,1,2
43385,2009,0,1,29,44,0,0,24,24,25,4,4,2,4,3,3,4,3,2,2,1,5
43241,1998,1,3,25,27,1,0,25,25,22,3,3,3,2,4,4,3,3,1,1,1,1
48578,2014,1,1,30,35,0,0,28,29,27,4,4,2,3,3,4,3,3,3,3,2,1
60301,2014,0,1,28,36,0,0,26,26,27,3,4,3,3,3,3,4,2,3,2,3,5
83674,2013,1,1,31,35,0,0,25,25,27,2,2,4,2,3,3,5,2,3,3,2,2
99611,2018,0,1,31,41,0,0,25,25,27,3,3,3,4,3,4,3,3,1,2,2,3
72361,2021,1,1,31,44,0,0,29,28,26,3,3,3,3,3,4,3,2,2,3,3,5
